,I0T,I0N,I0G,I0A,D0D,D0G,D0A,D0L,D0N,D0I,D0K,D0T,D0V,D0Q,D0S,D0R,D0Y,Y0L,Y0N,Y0D,Y0F,Y0G,Y0A,Y0T,Y0S,V0G,V0D,V0A,V0V,V0T,E0A,E0G,E0L,K0N,K0L,K0I,K0G,K0D,K0A,K0Y,K0V,K0T,K0S,F0D,F0A,F0N,L0Y,L0T,L0S,L0N,L0K,L0D,L0G,L0A,A0D,A0G,A0A,A0L,A0N,A0I,A0K,A0T,A0V,A0Q,A0S,A0Y,Q0T,Q0V,Q0S,V0N,Q0Y,Q0G,V0S,Q0A,Q0L,Q0N,Q0I,V0Y,Q0K,G0S,G0Q,G0V,G0T,G0Y,G0A,G0G,G0D,G0E,G0K,G0N,G0L,N0N,N0L,N0K,N0I,N0G,N0D,N0A,N0Y,N0V,N0T,N0S,N0Q,S0G,S0D,S0E,S0A,S0N,S0L,S0K,S0V,S0T,S0S,S0Y,T0T,T0V,T0Q,T0S,T0Y,T0E,T0D,T0G,T0A,T0L,T0N,T0K
BAQ24448.1,4,13,8,6,8,7,5,10,8,8,15,5,8,10,15,5,6,11,9,10,8,9,10,3,7,7,4,12,8,10,7,2,4,11,4,9,6,3,11,8,6,9,7,5,3,6,8,6,9,11,6,4,6,8,16,9,7,5,7,5,13,15,1,7,15,7,1,5,7,6,5,7,3,5,5,12,7,5,11,3,15,6,8,5,9,5,9,3,8,4,11,6,6,11,5,8,13,9,9,6,9,8,7,14,8,9,4,10,10,9,4,10,6,9,8,6,7,14,7,3,12,4,14,5,4,5
AJH79253.1,4,3,2,6,3,8,3,3,4,3,5,2,3,2,2,1,9,4,7,4,3,4,6,9,10,6,1,2,6,6,2,0,2,8,4,4,11,3,3,12,11,4,3,2,1,5,6,4,3,4,8,9,4,3,2,6,8,2,5,4,7,6,4,6,1,9,1,1,0,7,0,5,3,6,5,0,0,6,3,7,4,1,4,4,9,7,6,3,2,6,5,3,8,10,3,3,4,4,5,5,10,5,4,7,4,2,0,3,7,6,4,4,6,7,3,6,2,4,3,0,3,5,7,9,3,7
AKE50934.1,5,4,3,6,13,10,4,13,20,7,5,7,10,10,6,4,11,6,7,18,9,5,6,4,2,12,9,15,4,9,1,5,4,0,5,1,4,7,6,4,7,3,4,6,10,5,4,7,3,8,5,8,8,11,13,15,8,8,6,6,4,14,5,12,9,8,9,6,7,6,4,8,7,4,4,4,6,4,5,3,11,5,8,3,14,9,5,7,1,4,11,5,3,2,5,4,14,12,5,10,6,4,9,3,4,5,13,3,2,3,7,9,7,6,12,7,6,8,7,2,12,10,11,9,15,5
AKM18207.1,5,4,4,4,2,4,6,4,3,4,4,3,2,2,2,3,10,2,3,2,5,5,3,8,9,6,3,1,4,9,4,4,2,6,3,1,8,6,6,8,8,11,4,2,0,4,4,5,2,4,5,5,5,4,2,4,8,5,5,3,7,5,9,3,2,7,2,0,0,4,1,3,1,1,5,0,1,2,4,4,2,4,6,3,8,5,5,3,6,5,6,4,6,4,3,4,4,4,4,8,2,5,0,1,2,3,4,4,1,8,3,4,4,2,5,5,1,5,6,1,8,6,5,4,2,12
AKP35849.1,6,11,12,8,14,13,4,12,18,7,8,10,11,6,16,4,8,9,5,18,13,4,7,9,4,11,9,10,4,5,7,9,7,3,4,3,10,3,7,7,5,4,5,8,3,8,9,11,7,12,9,11,2,7,16,11,10,8,9,6,7,14,4,8,5,8,6,7,7,11,7,8,10,10,4,7,10,7,9,8,18,5,7,6,12,6,7,4,4,4,11,5,6,6,5,5,12,11,9,10,14,6,8,5,13,5,5,8,9,5,7,11,3,10,14,9,11,13,6,10,17,4,7,5,7,4
GAP05007.1,4,12,22,5,8,22,3,5,15,6,5,17,9,10,7,10,5,9,14,13,9,10,10,6,6,20,7,10,8,8,3,6,4,2,6,4,12,2,6,9,8,3,5,8,1,12,10,10,7,10,5,9,5,6,13,12,4,4,7,4,4,13,6,7,9,4,10,6,9,7,7,4,4,7,6,12,11,4,11,8,28,4,12,13,16,12,14,2,5,12,18,11,11,6,11,22,17,7,3,11,8,12,8,11,9,7,4,10,6,6,6,10,11,13,13,5,6,16,7,6,22,9,9,7,14,4
ALD71032.1,7,7,4,6,8,6,7,11,12,7,18,5,8,7,9,6,5,3,6,18,9,9,4,7,5,11,7,13,4,7,9,6,6,9,8,10,15,4,8,6,13,11,11,6,4,3,6,8,6,8,5,10,4,11,14,9,6,6,7,6,9,8,7,10,9,6,6,7,4,7,7,11,5,7,6,7,3,8,11,5,13,8,6,5,10,5,5,6,9,7,11,8,6,5,4,8,9,5,9,7,5,2,8,4,6,12,5,9,5,11,6,6,3,7,10,3,3,10,2,6,13,7,8,7,5,11
KOY68505.1,4,12,9,5,7,12,2,10,23,5,6,9,6,8,6,4,7,5,9,14,6,5,4,4,10,12,4,9,6,4,3,2,3,12,12,11,9,6,5,12,13,5,10,6,1,8,6,5,4,6,12,9,7,4,8,4,4,5,5,5,13,7,7,3,6,2,3,3,2,15,6,6,12,5,5,6,8,3,9,8,12,12,12,9,8,10,7,4,4,3,10,21,14,3,12,19,18,10,8,12,7,8,10,5,10,4,7,11,6,9,9,6,9,7,5,5,1,12,5,2,8,5,5,2,13,8
ALI34100.1,7,6,4,5,11,11,9,10,10,6,6,6,11,13,8,5,11,6,5,18,11,4,4,5,3,9,12,12,2,12,1,4,5,1,6,1,4,5,4,5,6,2,2,9,10,3,2,8,4,8,3,6,8,10,16,15,14,7,3,5,6,18,10,9,12,10,7,7,5,5,4,10,7,8,2,4,8,4,6,2,13,5,10,4,13,7,6,6,1,3,12,2,3,2,2,5,13,9,3,10,6,4,6,4,7,0,13,6,3,5,11,7,12,5,17,5,7,8,7,6,13,11,22,8,7,2
ALJ31411.1,6,16,15,11,11,17,4,8,27,7,10,9,11,9,17,3,11,9,13,17,6,8,15,4,11,14,10,8,7,6,1,8,11,4,22,9,7,5,12,15,11,8,11,10,4,9,5,15,9,12,15,11,9,12,13,7,5,5,16,7,8,7,10,3,46,6,6,8,34,18,3,7,14,2,5,6,17,11,14,13,20,10,7,2,5,7,8,6,9,9,20,21,11,16,6,13,22,8,14,15,15,14,15,13,9,18,35,19,8,15,10,13,50,15,10,6,7,15,10,8,13,7,6,2,13,6
ALJ31412.1,8,6,7,8,2,6,3,3,11,6,7,7,6,4,9,4,4,9,11,7,7,8,6,5,7,10,5,15,9,7,1,2,6,5,11,10,15,6,10,11,11,10,15,4,2,9,6,5,12,11,5,7,7,6,7,4,6,5,9,7,15,8,3,5,11,7,0,11,7,6,3,5,14,2,2,9,4,8,3,6,9,10,7,4,9,5,7,5,6,9,10,16,4,11,5,11,9,7,7,11,8,12,12,10,8,4,8,13,6,15,15,14,15,12,5,8,4,9,7,3,5,6,3,3,9,20
ALR79762.1,6,5,7,4,9,9,8,8,7,8,11,11,10,6,11,6,5,7,9,14,13,10,5,8,6,16,5,9,3,8,5,6,8,5,4,7,13,11,7,10,9,2,11,10,7,2,7,7,5,10,7,9,9,8,12,13,17,8,5,6,9,19,3,6,10,5,5,4,2,10,4,7,4,1,1,2,10,8,10,4,14,1,13,10,10,6,6,8,10,4,17,3,5,12,5,4,11,10,12,5,7,4,5,10,6,5,3,6,5,9,9,6,6,8,11,4,4,6,5,6,12,4,23,5,11,10
ALR79763.1,3,8,7,9,5,3,7,7,8,8,10,9,6,7,14,6,5,7,8,9,8,11,5,7,7,9,4,17,3,13,6,7,5,5,1,10,15,7,13,8,10,9,6,2,5,2,4,6,3,13,5,5,4,9,12,10,12,8,5,6,8,12,11,3,9,8,5,3,2,9,4,5,4,2,4,4,7,4,7,7,7,7,14,9,9,5,9,6,8,5,8,5,3,14,9,3,14,2,7,9,6,3,6,9,6,7,8,5,4,6,8,8,3,9,15,6,3,10,5,11,14,13,14,3,9,10
ALR79770.1,2,8,9,7,5,10,4,11,7,9,10,11,8,5,11,3,5,5,9,14,9,8,9,6,6,18,6,14,5,13,7,8,5,7,5,7,14,9,11,12,17,6,6,8,6,4,3,8,10,8,8,8,5,10,13,14,11,8,9,5,8,16,10,2,13,8,3,8,2,11,4,7,10,2,8,2,10,9,11,7,16,10,18,5,8,4,6,7,11,8,12,4,6,10,1,9,10,7,7,7,4,9,10,6,7,8,11,5,5,12,6,6,8,14,14,10,2,7,5,7,16,14,15,8,12,9
ALR80278.1,5,8,7,7,6,8,9,9,11,7,10,8,4,10,14,5,6,7,13,13,11,8,8,2,5,13,7,14,5,4,1,10,4,5,4,3,11,4,7,10,6,9,3,8,7,5,5,7,7,9,5,8,5,8,14,11,13,4,8,4,9,26,8,4,12,8,1,6,5,10,6,13,5,4,6,3,8,4,7,3,17,4,11,6,11,7,9,4,2,8,17,9,14,9,8,8,13,11,7,8,11,9,7,10,7,5,7,11,3,3,4,5,2,7,14,11,4,10,7,5,13,6,13,8,11,5
ALR80281.1,4,11,10,10,5,5,4,7,7,6,10,6,7,5,7,7,2,5,8,15,12,7,10,5,5,13,6,14,6,9,7,5,4,6,3,4,7,2,6,9,7,11,3,9,5,6,6,11,5,11,6,4,7,11,10,11,11,10,9,3,4,14,4,9,11,8,8,7,14,8,8,10,5,6,4,10,7,9,8,7,17,4,9,6,12,7,5,6,7,6,14,6,10,10,6,8,10,8,8,6,12,5,7,8,5,7,4,6,6,3,10,7,4,9,13,5,8,13,3,6,6,6,9,11,10,6
ALR80315.1,3,12,10,2,4,6,11,4,17,2,10,11,11,5,8,5,6,6,11,13,6,7,6,4,5,13,4,12,9,10,5,6,6,4,4,8,7,2,7,5,2,5,6,5,6,6,6,6,6,8,3,7,4,9,10,9,5,9,9,4,7,13,5,5,9,8,4,4,2,7,4,7,5,5,4,2,6,10,4,8,12,10,10,4,9,9,5,7,3,14,11,17,6,8,5,18,15,6,7,13,14,10,8,9,4,7,7,8,5,3,6,4,5,9,17,9,3,4,2,5,18,11,9,3,15,5
CUR62810.1,9,6,7,8,8,7,9,12,17,4,8,11,8,14,15,9,8,8,11,15,11,12,10,7,8,14,10,10,10,10,2,5,4,6,5,6,12,10,12,11,14,4,9,6,5,9,5,12,10,15,10,12,9,11,12,13,17,12,11,7,8,19,4,6,6,14,11,21,8,14,8,5,11,8,6,7,7,8,13,12,22,6,11,8,8,6,8,4,6,9,10,13,7,7,7,11,10,9,9,13,14,11,20,11,5,3,15,15,12,7,11,12,6,8,14,8,9,15,11,4,14,9,12,7,14,7
CUR63277.1,5,9,9,4,6,14,8,11,7,8,2,13,11,16,6,5,6,6,12,10,5,5,10,7,6,9,7,9,3,13,5,2,4,3,5,4,7,13,4,7,9,14,5,6,5,4,5,7,9,14,3,10,5,6,13,5,4,10,8,7,10,12,3,3,11,9,2,10,4,10,4,8,5,5,7,10,13,6,8,4,14,2,15,3,11,4,4,3,6,6,11,8,6,7,1,7,14,8,5,6,10,7,10,10,6,2,8,6,7,10,7,9,7,8,18,8,7,10,4,7,18,7,10,2,9,9
AMF85466.1,7,8,7,10,8,9,5,6,8,5,7,7,7,3,6,9,4,9,11,8,9,5,4,7,6,13,8,13,6,6,4,5,5,5,5,8,6,5,7,7,8,8,3,6,4,6,6,7,9,10,8,5,3,13,13,11,3,9,9,6,9,8,5,5,15,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,8,8,9,9,10,12,9,5,6,11,6,1,10,10,6,6,11,7,7,5,17,6,6,11,3,5,9,5,9,5,10,8
AMF85467.1,7,11,12,9,7,6,4,7,14,6,11,6,8,5,7,5,6,6,13,14,8,9,6,5,4,14,11,11,9,9,6,7,6,2,6,9,4,3,5,8,7,8,5,4,6,8,1,6,4,11,8,4,1,11,12,12,5,9,9,7,7,13,3,3,13,5,5,4,6,9,3,7,4,6,6,3,3,9,10,10,14,7,4,7,12,3,3,1,5,6,5,3,9,4,5,14,10,6,13,10,10,7,12,9,8,5,6,4,4,4,11,6,6,8,10,9,2,10,4,5,10,6,11,5,9,7
AMF85549.1,5,14,9,6,7,8,6,9,7,7,11,5,8,9,15,5,5,11,9,10,8,9,10,3,7,7,6,12,8,9,6,2,3,10,4,9,8,3,12,8,6,8,8,5,4,6,8,6,9,12,7,3,6,9,16,8,5,6,8,6,12,14,2,4,14,6,4,7,7,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,6,9,8,7,6,7,14,5,11,5,11,10,9,7,9,7,9,9,4,12,13,7,4,9,6,12,6,6,5
AMV61683.1,0,0,1,1,0,2,6,0,1,0,1,4,1,0,2,0,2,1,2,3,0,2,2,1,3,3,0,4,3,0,2,1,2,0,3,0,3,0,39,1,0,1,1,0,0,1,2,5,1,4,1,1,2,1,7,1,42,7,3,0,39,3,0,3,1,2,1,0,2,1,2,2,1,1,1,0,2,0,2,2,2,0,4,2,4,4,0,3,3,1,3,1,2,2,3,2,2,1,2,0,1,0,2,2,2,1,1,2,1,2,1,1,2,3,2,2,0,2,2,1,4,2,6,1,1,2
AMV63808.1,3,6,5,1,2,4,18,5,6,2,4,6,3,3,5,3,5,5,4,8,0,4,5,3,5,5,4,11,4,0,5,2,5,4,6,2,4,0,51,3,2,3,1,0,0,1,8,6,3,15,3,2,3,4,19,1,55,9,9,1,52,7,2,7,7,6,1,1,2,8,3,5,3,5,3,3,6,2,4,5,4,0,9,3,5,10,3,4,6,3,7,6,6,3,7,6,12,5,4,6,6,6,4,6,7,3,4,4,3,3,4,5,7,6,3,2,1,5,4,4,4,5,9,5,4,4
AMV68182.1,3,6,5,1,2,4,24,5,6,2,4,6,3,3,5,3,5,5,4,8,0,4,5,3,5,5,4,10,4,0,5,2,5,4,6,2,4,0,58,3,1,3,1,0,0,1,8,6,3,15,3,2,3,4,25,1,63,9,9,1,59,7,2,7,7,6,1,1,2,8,3,5,3,5,3,3,6,2,4,5,4,0,9,3,5,10,3,4,6,3,7,6,6,3,7,6,12,5,4,6,6,6,4,6,7,3,4,4,3,3,4,5,7,6,3,2,1,5,4,4,4,5,9,5,4,4
AMY13042.1,7,12,5,2,10,12,10,5,15,9,8,19,8,7,12,10,3,7,13,13,6,8,6,4,6,10,12,6,10,7,3,5,4,9,0,7,17,3,8,12,9,5,5,3,3,6,5,9,9,16,8,8,7,7,12,7,9,9,17,6,4,14,7,8,7,5,6,6,7,10,8,7,5,7,9,8,10,7,2,9,13,8,6,7,7,12,10,9,3,11,15,16,13,11,8,15,23,14,10,10,14,10,13,6,14,5,9,14,4,6,10,6,2,4,17,6,9,10,9,7,9,7,15,8,13,10
AND77013.1,7,6,4,5,11,11,10,11,10,6,6,7,12,13,9,4,11,6,5,18,11,4,4,5,2,9,13,11,2,12,1,3,5,1,6,1,3,5,4,5,6,2,2,10,11,3,2,8,4,9,3,5,9,10,16,14,13,8,2,5,6,16,11,9,12,10,7,7,5,5,4,10,9,9,1,4,8,4,6,2,13,5,10,4,10,8,6,6,1,3,11,2,2,2,3,5,13,9,3,9,6,4,5,4,7,0,14,6,4,4,13,8,14,5,17,6,7,9,7,6,13,10,21,7,6,2
AND79402.1,6,13,8,9,7,6,9,5,16,7,4,7,10,7,13,3,5,10,13,19,10,6,12,4,6,15,4,14,6,10,7,13,7,4,4,2,3,2,3,7,1,6,1,6,7,5,6,11,9,11,3,7,9,7,13,8,9,11,8,4,6,13,6,8,13,12,1,11,8,7,6,6,7,7,7,4,11,8,6,5,23,2,7,8,13,5,3,8,3,7,10,8,6,3,8,10,17,4,15,8,4,2,11,9,7,16,6,4,8,2,10,4,6,11,6,6,5,10,4,7,5,12,8,4,12,3
ANJ45894.1,4,6,9,5,6,9,11,5,13,3,6,15,11,4,8,3,5,8,22,15,14,11,8,3,5,9,7,6,9,9,5,6,4,5,4,4,8,8,5,11,6,7,6,4,4,11,8,9,5,14,7,4,8,5,7,11,7,9,11,6,4,8,5,6,4,10,2,7,7,11,10,4,6,4,4,4,10,11,7,5,13,7,10,7,3,8,14,2,8,6,14,18,10,4,9,17,11,8,8,10,11,8,15,5,6,5,9,7,5,6,7,9,7,4,12,9,14,7,10,6,13,8,6,4,14,3
ANJ45895.1,7,9,3,9,10,11,7,7,15,9,13,9,8,6,10,2,7,8,23,10,19,11,11,7,9,18,6,9,2,6,2,8,6,6,7,7,8,7,4,13,10,6,6,8,5,9,6,6,7,10,13,4,5,3,9,6,7,7,6,6,4,11,6,7,4,9,11,5,5,11,7,6,6,3,4,5,5,6,5,4,10,4,12,10,7,9,15,2,9,8,10,12,8,3,3,18,19,5,11,11,19,6,15,9,10,4,2,10,8,7,4,9,10,8,16,13,10,6,10,8,10,6,8,3,12,7
ANK68614.1,5,5,3,3,5,5,3,3,5,3,3,5,4,2,5,4,4,5,9,7,1,6,4,3,6,7,2,4,5,1,4,2,5,3,3,2,4,2,1,3,2,6,3,0,2,3,9,6,4,12,6,2,3,3,5,1,4,7,9,1,3,7,6,8,7,6,1,2,0,9,5,5,1,6,2,2,6,2,4,6,4,1,6,4,10,6,4,5,2,7,7,8,9,6,11,10,15,8,3,3,5,1,8,7,4,5,4,6,3,2,2,3,3,6,4,2,2,5,2,2,4,3,7,6,8,5
ANR75563.1,7,6,4,5,10,4,7,11,13,8,18,7,7,6,7,7,5,3,6,19,10,7,4,9,3,17,6,14,5,5,14,7,3,8,5,9,16,6,17,5,20,11,7,6,7,3,5,7,6,7,7,11,5,9,12,12,10,7,8,6,12,14,7,6,11,6,5,6,3,7,4,17,6,5,8,8,5,3,9,7,20,9,6,5,11,6,3,6,7,7,10,10,6,6,6,9,7,4,12,5,4,3,7,2,4,9,3,9,4,11,5,4,2,8,10,4,4,6,4,5,13,8,14,7,2,13
ANY11530.1,7,6,8,5,8,7,5,10,11,6,4,13,8,9,11,6,11,8,9,12,12,8,6,6,3,12,5,10,5,5,5,3,5,0,6,2,8,3,8,7,1,5,2,7,10,5,5,8,3,11,10,10,6,9,14,10,20,7,9,4,8,28,5,14,4,9,6,8,5,11,6,9,5,11,4,6,10,5,7,2,17,6,18,6,13,7,5,4,3,6,11,5,7,4,3,7,17,11,8,7,9,3,8,5,6,1,6,6,6,1,5,12,0,5,15,8,13,14,11,3,13,17,19,8,11,3
AOR73699.1,8,10,5,8,7,6,5,5,16,5,6,14,6,6,6,13,14,6,10,17,22,6,9,6,5,10,10,6,5,2,5,7,3,9,2,5,8,6,5,6,5,7,6,2,5,7,8,12,4,13,8,5,8,4,9,10,5,7,12,3,4,18,7,5,13,5,3,4,0,16,7,13,6,12,2,10,7,2,11,7,11,6,17,14,12,7,12,6,5,5,7,12,9,5,14,20,14,8,11,8,8,10,15,6,5,3,5,9,5,7,8,5,5,10,9,5,13,7,17,2,9,7,10,18,16,3
AOS70952.1,7,7,4,6,8,6,7,11,13,7,21,5,8,7,10,6,5,3,6,19,10,11,4,7,5,13,7,13,4,8,11,6,6,9,8,11,15,4,9,6,16,11,11,6,5,3,6,9,6,8,5,11,4,11,14,10,6,6,9,5,9,9,7,10,10,6,6,8,4,7,7,13,5,7,7,7,4,9,12,5,15,9,6,5,11,5,7,6,11,6,11,9,6,5,4,9,9,5,9,7,4,2,9,4,6,13,5,9,5,11,6,6,3,7,10,3,3,10,2,5,14,7,8,8,6,11
AOS98796.1,4,3,1,3,1,2,8,2,3,4,5,2,1,0,3,2,4,1,1,2,2,4,2,8,7,4,5,4,7,9,2,4,7,5,5,2,10,5,8,6,6,10,3,2,0,3,4,9,6,5,5,4,3,6,5,5,7,6,5,1,8,5,9,2,7,6,2,2,1,5,2,1,3,6,3,3,0,4,3,2,1,6,7,2,5,5,6,4,5,2,8,5,2,7,2,3,2,1,3,7,5,3,3,5,1,7,2,1,3,5,5,6,1,3,9,6,2,3,6,4,1,5,14,7,5,15
AOW75236.1,3,5,4,1,3,3,4,4,9,1,4,6,5,4,6,2,3,5,6,8,2,7,6,3,6,7,4,8,4,1,4,2,4,4,6,2,4,0,3,4,3,3,0,0,0,3,9,5,2,16,3,2,2,3,7,1,6,9,9,1,4,8,3,6,5,7,0,1,2,7,3,6,5,5,4,4,7,4,4,5,4,0,9,3,7,11,4,4,7,5,7,5,6,4,7,6,13,5,7,7,7,6,4,7,6,3,6,5,3,2,4,5,8,6,3,2,1,5,4,3,4,5,9,5,4,5
SFV41414.1,3,7,11,4,6,4,7,8,13,9,6,7,10,13,8,3,3,4,9,15,8,4,3,4,8,11,9,7,4,4,3,4,2,10,6,6,11,2,7,7,14,7,8,4,2,10,4,7,5,10,5,14,9,6,9,10,4,6,6,2,5,6,8,10,5,6,5,2,3,13,9,16,3,7,8,10,11,11,17,8,16,8,13,2,11,7,6,4,11,5,6,13,10,4,6,11,12,4,7,7,15,8,16,8,4,5,8,11,4,10,6,5,9,6,4,3,4,13,9,3,5,7,16,5,6,7
APD02741.1,4,5,6,4,5,6,3,3,5,4,3,4,22,3,5,3,4,5,28,7,10,25,5,11,14,15,2,4,5,1,4,2,5,3,3,2,3,2,1,10,2,6,3,0,2,3,26,6,7,12,5,2,3,3,5,2,4,7,9,2,3,16,6,16,7,6,1,2,0,9,7,6,1,6,3,11,7,11,4,6,6,1,7,3,20,7,14,5,9,25,7,8,27,15,11,12,24,8,14,3,5,1,8,22,4,5,5,7,3,3,2,3,3,7,4,2,2,5,2,2,4,3,7,15,8,5
APE76971.1,3,6,8,5,6,8,11,6,14,2,6,12,11,4,9,3,5,8,22,15,14,11,8,3,5,11,7,6,9,8,5,6,4,5,4,4,8,8,5,12,6,7,6,4,4,11,8,11,5,13,7,4,8,5,7,11,7,10,11,5,4,8,6,6,4,10,2,7,7,11,10,4,7,4,4,4,9,11,7,5,13,9,9,7,3,8,14,2,8,6,14,16,9,4,9,17,11,9,9,9,13,8,14,6,6,5,9,7,6,6,8,10,7,4,10,10,14,7,9,6,12,6,6,4,14,3
APE76972.1,7,9,4,9,11,10,9,7,17,9,13,5,8,6,9,2,7,8,23,10,19,11,11,7,9,17,7,7,2,7,2,10,6,7,7,7,7,8,4,13,10,6,5,8,5,9,6,6,7,9,13,4,4,4,10,7,8,7,7,6,4,9,5,8,3,9,10,5,7,12,7,6,7,4,3,5,5,6,6,5,10,4,12,10,7,9,15,2,9,8,10,11,8,5,3,19,18,5,10,11,21,6,15,8,9,6,2,11,7,7,4,7,11,9,15,12,10,7,10,8,7,6,7,2,14,6
APE77220.1,8,12,11,3,13,8,10,11,11,10,18,10,9,11,21,3,9,8,10,14,8,5,10,7,9,12,7,10,6,6,1,2,4,5,9,3,8,4,14,5,4,8,6,5,5,1,4,7,7,9,5,8,4,7,15,7,6,7,4,3,7,29,6,6,14,7,3,6,5,6,4,7,4,6,8,7,11,7,8,5,13,6,9,6,8,3,5,8,3,7,8,7,4,3,3,7,14,9,9,8,10,7,9,11,19,4,7,6,4,12,5,13,10,6,22,9,3,12,6,6,31,9,18,4,5,5
APG73882.1,4,5,4,3,5,3,2,2,4,3,3,5,4,2,5,2,4,5,8,6,0,4,4,1,5,6,2,5,5,0,4,2,5,2,3,3,2,2,1,3,2,7,3,0,2,3,7,6,5,13,6,2,3,3,5,1,4,8,9,2,3,9,5,6,6,6,1,1,0,9,5,5,2,7,3,2,7,2,4,6,3,1,6,4,10,5,3,5,2,5,7,8,7,5,11,13,13,10,1,2,5,2,8,6,2,5,4,8,4,3,2,3,3,7,4,2,2,4,1,2,3,3,7,6,9,5
API71911.1,6,15,21,11,18,27,10,21,21,13,12,37,30,24,20,13,11,14,16,27,12,11,12,13,15,32,5,24,6,7,8,9,8,10,12,12,13,16,31,11,8,11,8,11,9,10,11,16,18,24,6,26,9,14,32,11,15,13,16,8,11,57,12,9,12,10,7,8,10,16,11,8,20,8,14,13,23,14,16,13,33,8,22,15,21,12,13,11,9,14,24,15,12,9,7,17,33,14,15,18,12,19,19,25,28,10,19,16,16,11,14,16,15,13,31,13,10,26,10,11,32,15,19,7,22,34
API72687.1,5,12,12,8,16,15,5,12,18,8,9,12,10,5,14,5,9,9,4,19,13,4,6,9,4,11,10,9,4,7,5,6,7,2,4,3,10,2,7,7,6,5,4,9,3,6,9,10,6,15,5,9,2,9,16,10,7,7,7,5,8,14,4,9,6,7,6,6,7,10,7,8,7,8,4,5,11,6,9,7,18,5,9,6,11,6,7,4,5,4,11,6,6,8,5,8,11,12,8,9,11,6,7,5,11,6,5,8,8,4,5,8,6,12,13,10,7,13,7,8,20,4,8,4,8,3
API72692.1,6,10,11,3,14,10,9,11,10,10,10,9,8,11,27,3,8,8,10,14,8,5,11,6,9,12,7,9,6,8,1,0,4,6,9,4,8,3,9,6,4,13,6,5,5,1,4,8,6,10,5,8,4,6,15,8,6,7,4,3,7,32,6,6,9,8,3,6,5,7,4,7,5,6,8,8,10,7,8,5,13,8,10,6,9,3,4,7,4,7,8,11,4,12,3,8,14,13,9,7,11,8,9,11,10,4,8,16,3,11,6,14,11,6,26,9,3,11,7,7,35,9,21,4,9,6
APP10247.1,1,9,5,4,6,10,1,2,8,4,14,9,5,2,7,4,3,10,7,5,6,4,6,5,7,6,4,9,3,3,3,2,3,6,8,3,21,7,7,10,11,12,13,4,5,3,0,6,12,13,10,4,9,5,10,5,3,11,8,2,6,8,3,5,8,4,2,4,4,5,5,3,5,3,3,3,2,7,6,10,8,7,5,7,9,5,5,2,6,5,9,3,7,5,5,5,9,7,4,8,3,8,5,6,12,6,11,5,11,21,3,2,14,7,3,3,4,11,5,1,6,1,8,2,2,7
APP10248.1,1,5,6,6,10,2,1,3,5,4,7,7,9,3,10,4,5,9,8,10,7,3,7,4,7,9,4,10,2,4,1,6,4,10,8,5,20,5,5,8,12,12,12,4,3,4,3,6,12,8,7,3,5,8,11,2,2,11,4,1,8,10,2,4,9,3,5,2,4,4,4,2,7,5,2,3,1,8,0,9,5,7,8,6,5,5,6,2,13,5,9,4,5,10,7,5,4,8,5,5,6,10,2,9,6,4,8,7,8,18,5,6,15,13,6,5,2,7,4,7,6,5,8,3,6,9
APP10249.1,2,10,4,5,7,2,2,4,6,5,9,9,9,2,9,3,4,8,7,9,7,3,7,5,6,9,5,8,4,6,2,5,4,10,10,4,19,6,3,9,12,13,13,5,2,4,3,6,14,10,7,3,6,3,10,3,1,11,3,1,7,7,2,3,10,2,5,2,4,4,3,2,6,4,1,3,1,6,0,10,4,7,6,6,4,7,6,4,12,4,9,6,5,9,7,4,5,9,7,7,7,8,3,12,8,4,9,8,6,17,4,6,16,12,10,3,0,9,4,7,6,4,6,2,5,12
APP10860.1,5,6,4,3,5,4,2,2,5,3,3,5,4,2,4,3,4,5,8,6,0,4,5,2,5,7,2,5,5,1,4,3,5,4,3,2,3,1,2,3,2,7,3,0,2,3,7,6,5,13,5,2,3,3,5,1,4,7,9,3,3,8,6,6,7,6,1,2,0,9,5,5,3,5,3,2,7,1,4,6,3,1,6,4,10,6,3,5,2,5,7,8,7,5,11,12,13,11,3,3,5,3,8,6,4,5,4,6,4,3,2,3,4,7,4,2,2,4,2,2,3,3,8,6,9,5
APP13831.1,5,5,4,3,5,5,3,3,5,3,3,5,5,2,5,4,4,5,9,7,2,7,4,3,6,8,2,4,5,1,4,2,5,3,3,2,4,2,1,3,2,6,3,0,2,3,9,6,5,13,5,2,3,3,5,1,4,7,9,2,3,8,6,8,7,6,1,2,0,9,5,5,1,6,3,2,6,2,4,6,4,1,5,3,12,6,4,5,2,8,7,8,9,6,11,9,16,8,3,3,5,1,8,7,4,5,5,6,3,3,2,3,3,7,4,2,2,5,2,2,4,3,7,6,8,5
